Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,339.95,344.0,337.65,340.5,1250200,339.163
2016-01-04,338.0,338.95,321.0,326.8,3152700,325.517
2016-01-05,327.0,328.75,321.0,323.45,2118900,322.18
2016-01-06,325.9,332.5,319.65,322.2,2414100,320.935
2016-01-07,320.9,325.8,316.6,322.35,2825700,321.085
2016-01-08,324.3,324.95,318.5,323.85,1801800,322.579
2016-01-11,321.0,324.0,314.7,321.15,2519700,319.889
2016-01-12,322.0,325.45,313.6,315.4,2940200,314.16200000000003
2016-01-13,321.0,322.55,302.05,308.6,4546000,307.389
2016-01-14,306.9,312.0,300.5,308.75,3274500,307.538
2016-01-15,311.7,311.7,303.1,306.1,3219900,304.89799999999997
2016-01-18,307.8,308.7,293.85,300.25,4122900,299.07099999999997
2016-01-19,301.8,312.4,298.4,310.3,3341600,309.082
2016-01-20,308.5,313.85,302.8,309.6,5073800,308.385
2016-01-21,313.0,313.4,303.65,309.3,3084200,308.086
2016-01-22,311.1,311.2,291.55,298.7,5321000,297.527
2016-01-25,299.85,300.95,292.55,297.5,3136000,296.332
2016-01-26,297.5,297.5,297.5,297.5,0,296.332
2016-01-27,297.5,299.5,291.8,297.8,5087500,296.631
2016-01-28,294.3,295.85,288.35,291.4,6381300,290.256
2016-01-29,289.4,297.3,282.3,289.9,6645400,288.762
2016-02-01,292.2,298.0,291.2,296.6,3988400,295.436
2016-02-02,296.6,304.0,295.7,302.2,4333800,301.014
2016-02-03,300.7,301.8,296.15,299.8,4716200,298.623
2016-02-04,303.8,305.8,301.6,304.25,3074300,303.056
2016-02-05,302.1,308.5,302.05,307.2,2385900,305.994
2016-02-08,308.35,313.5,305.6,311.0,2481200,309.779
2016-02-09,309.0,313.95,307.0,312.25,2835300,311.024
2016-02-10,311.0,314.95,308.5,311.3,9174800,310.078
2016-02-11,305.0,315.5,304.45,308.7,5876800,307.488
2016-02-12,312.5,330.0,307.5,324.55,3649500,323.276
2016-02-15,328.55,329.9,316.45,318.9,5061000,317.64799999999997
2016-02-16,322.35,324.9,313.75,315.3,2623500,314.062
2016-02-17,313.5,321.6,308.6,319.55,3582100,318.296
2016-02-18,323.0,323.1,316.05,321.2,2315300,319.939
2016-02-19,320.5,327.95,316.75,326.05,5373100,324.77
2016-02-22,324.5,334.9,322.0,329.1,3113900,327.80800000000005
2016-02-23,333.0,333.0,318.1,321.3,4900600,320.039
2016-02-24,318.15,325.55,317.65,323.95,2274100,322.678
2016-02-25,324.95,325.45,318.0,322.55,8613200,321.284
2016-02-26,324.85,324.85,317.0,317.95,6367000,316.702
2016-02-29,317.0,322.35,313.05,315.5,3594700,314.262
2016-03-01,315.55,322.3,310.25,320.7,4353500,319.441
2016-03-02,322.0,327.75,321.0,326.35,2964800,325.069
2016-03-03,328.4,334.95,324.0,333.4,2942600,332.091
2016-03-04,332.0,336.65,327.1,329.25,1953800,327.958
2016-03-07,329.25,329.25,329.25,329.25,0,327.958
2016-03-08,329.5,334.0,326.75,331.5,2157300,330.199
2016-03-09,329.05,335.85,328.3,334.6,3091400,333.287
2016-03-10,332.05,338.7,331.0,336.3,1656000,334.98
2016-03-11,335.0,338.8,334.0,337.25,2720100,335.926
2016-03-14,335.15,342.0,331.8,340.75,2373000,339.412
2016-03-15,340.0,344.5,336.0,342.9,2081400,341.55400000000003
2016-03-16,341.25,344.8,335.4,338.5,3931200,337.171
2016-03-17,341.3,351.7,338.05,340.75,6449100,339.412
2016-03-18,345.8,348.25,340.05,344.3,3561600,342.94800000000004
2016-03-21,345.0,355.0,343.2,353.65,2535600,352.26199999999994
2016-03-22,354.9,356.7,344.65,350.9,3988300,349.523
2016-03-23,352.0,361.4,352.0,358.2,4611400,356.79400000000004
2016-03-24,358.2,358.2,358.2,358.2,0,356.79400000000004
2016-03-25,358.2,358.2,358.2,358.2,0,356.79400000000004
2016-03-28,358.9,361.0,346.85,349.8,4173300,348.42699999999996
2016-03-29,347.0,357.75,346.05,354.5,3671000,353.108
2016-03-30,355.0,359.25,351.1,353.8,3811500,352.411
2016-03-31,353.5,356.65,346.55,350.8,7144200,349.423
2016-04-01,350.2,350.2,332.2,335.45,4071100,334.13300000000004
2016-04-04,335.55,350.9,335.55,348.5,3095600,347.13199999999995
2016-04-05,346.5,346.5,329.05,330.5,4767500,329.20300000000003
2016-04-06,333.45,339.55,331.55,334.5,2737200,333.18699999999995
2016-04-07,336.1,336.3,329.25,331.25,2177200,329.95
2016-04-08,331.95,337.4,325.6,334.6,2090500,333.287
2016-04-11,341.45,350.0,341.0,348.25,4077500,346.88300000000004
2016-04-12,348.2,352.5,344.15,350.1,2784500,348.726
2016-04-13,351.05,364.5,349.6,351.25,5961200,349.871
2016-04-14,351.25,351.25,351.25,351.25,0,349.871
2016-04-15,351.25,351.25,351.25,351.25,0,349.871
2016-04-18,355.05,363.0,352.2,359.4,2549100,357.98900000000003
2016-04-19,359.4,359.4,359.4,359.4,0,357.98900000000003
2016-04-20,364.0,364.35,354.1,356.65,2929800,355.25
2016-04-21,357.85,359.0,351.0,357.25,1999100,355.848
2016-04-22,351.0,357.95,349.75,353.1,1315900,351.714
2016-04-25,354.3,364.0,354.3,358.95,3092200,357.541
2016-04-26,357.45,363.8,355.4,360.4,2348400,358.985
2016-04-27,365.0,381.4,362.15,373.05,7767500,371.586
2016-04-28,383.45,385.0,370.5,372.7,9027600,371.23699999999997
2016-04-29,371.85,372.6,360.5,363.6,4876900,362.173
2016-05-02,363.0,364.5,356.4,357.8,1572700,356.395
2016-05-03,358.0,370.5,358.0,368.35,3919700,366.904
2016-05-04,365.95,369.25,359.3,361.45,1697300,360.031
2016-05-05,362.5,366.0,351.65,354.4,2140500,353.009
2016-05-06,357.0,364.45,354.4,359.1,2880400,357.69
2016-05-09,360.25,367.9,358.2,366.8,1866200,365.36
2016-05-10,367.5,369.3,360.35,368.85,2642800,367.402
2016-05-11,364.5,377.45,357.0,358.9,4791300,357.491
2016-05-12,363.0,363.55,355.7,362.1,2905900,360.67900000000003
2016-05-13,362.0,362.0,353.0,354.9,3610400,353.50699999999995
2016-05-16,355.0,356.15,342.85,353.45,2700300,352.06300000000005
2016-05-17,356.0,359.0,348.6,351.2,2478000,349.82099999999997
