Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,169.0,172.0,168.15,170.9,1700800,169.11700000000002
2016-01-04,170.5,170.95,164.5,165.2,2322000,163.477
2016-01-05,165.8,168.05,164.2,166.3,2286600,164.565
2016-01-06,167.3,168.8,165.15,165.65,2510700,163.922
2016-01-07,164.0,164.2,153.1,153.75,4947400,152.14600000000002
2016-01-08,156.4,156.45,152.3,153.6,3027700,151.998
2016-01-11,151.9,151.9,148.0,149.45,3047100,147.891
2016-01-12,149.9,153.2,149.1,150.65,2421300,149.079
2016-01-13,151.95,153.0,142.95,148.2,3625000,146.654
2016-01-14,145.2,146.9,142.5,143.65,2557600,142.15200000000002
2016-01-15,145.5,145.5,135.1,136.4,3265800,134.977
2016-01-18,136.0,148.0,131.8,142.1,6836300,140.618
2016-01-19,143.1,145.3,136.6,144.3,4245500,142.795
2016-01-20,141.45,144.7,136.3,143.05,5412900,141.558
2016-01-21,145.5,147.55,141.45,143.1,4259600,141.607
2016-01-22,146.15,147.9,143.6,147.35,2813700,145.813
2016-01-25,148.35,151.45,144.3,145.25,3053800,143.735
2016-01-26,145.25,145.25,145.25,145.25,0,143.735
2016-01-27,145.5,146.0,139.15,139.6,3944500,138.144
2016-01-28,139.6,140.5,136.05,136.9,9550000,135.472
2016-01-29,137.75,139.65,136.5,138.7,3217100,137.253
2016-02-01,139.7,144.8,136.5,140.25,6689500,138.787
2016-02-02,140.55,140.7,134.3,134.8,3840700,133.394
2016-02-03,133.0,133.3,127.8,128.2,4342300,126.863
2016-02-04,129.25,131.45,127.2,129.5,3684400,128.149
2016-02-05,129.9,133.45,128.45,132.8,3341000,131.415
2016-02-08,132.95,137.9,131.5,132.3,3386900,130.92
2016-02-09,131.75,133.4,129.95,131.4,2666400,130.029
2016-02-10,130.95,131.25,126.65,128.0,2600200,126.665
2016-02-11,127.0,129.25,119.15,120.25,5380100,118.99600000000001
2016-02-12,114.0,115.65,102.25,104.45,20437800,103.361
2016-02-15,106.7,109.5,101.9,107.95,14192100,106.824
2016-02-16,109.0,109.95,101.6,103.25,7996700,102.17299999999999
